Aerolinea;Nombre_Aerolinea;Pais
aero. argentinas-austral;Aerolineas Argentinas;Argentina
aerol. argentinas;Aerolineas Argentinas;Argentina
aerolineas argentinas;Aerolineas Argentinas;Argentina
aerolineas argentinas-austral;Aerolineas Argentinas;Argentina
aerolineas damojh;Global Air;Mexico
aeromexico;Aeromexico;Mexico
aerovias d.a.p.;DAP Airlines;Chile
air canada;Air Canada;Canada
air class;Air Class;Uruguay
air france;Air France;Francia
alitalia;Alitalia;Italia
amaszonas;Amaszonas;Bolivia
amaszonas paraguay;Amaszonas;Bolivia
amaszonas s.a.;Amaszonas;Bolivia
amaszonas uruguay;Amaszonas;Bolivia
american airlines;American Airlines;Estados Unidos
austral;Austral;Argentina
avianca;Avianca;Colombia
british airways;British Airways;Inglaterra
c.o.p.a.;Copa Air;Panama
conviasa;Conviasa;Venezuela
copa air;Copa Air;Panama
delta air;Delta Air;Estados Unidos
delta airlines;Delta Air;Estados Unidos
dynamic airways;Dynamic Airways;Holanda
eastern airlines;Eastern Airlines;Estados Unidos
emirates;Emirates;Emiratos Arabes Unidos
estelar latinoamerica;Estelar Latinoamerica;Venezuela
global aviation;Global Aviation;España
go2sky;G2Sky;Eslovaquia
gol trans;Gol;Brasil
grupo avianca;Avianca;Colombia
grupo latam;LATAM;Chile
iberia;Iberia;España
iberia-level;Iberia;España
jetsmart;JetSmart;Chile
jetsmart airlines peru;JetSmart;Chile
jetsmart airlines s.a.;JetSmart;Chile
jetsmart spa;JetSmart;Chile
k.l.m.;K.L.M.;Holanda
l.a.c.s.a.;Avianca;Costa Rica
lacsa;Avianca;Costa Rica
latam;LATAM;Chile
latam airlines argentina;LATAM;Chile
latam airlines brasil;LATAM;Chile
latam airlines chile;LATAM;Chile
latam airlines colombia;LATAM;Chile
latam airlines ecuador;LATAM;Chile
latam airlines group;LATAM;Chile
latam airlines paraguay;LATAM;Chile
latam airlines peru;LATAM;Chile
latam cargo;LATAM;Chile
latin american wings;LAW;Chile
mongolian airlines;Mongolian Airllines;Mongolia
oceanair linhas aereas;Avianca;Brasil
one spa;One Airlines;Chile
otras aerolineas;Otras Aerolineas;Otros
peruvian airlines;Peruvian Airlines;Peru
pisco perãº;Pisco Peru;Peru
plus ultra lineas aereas;Plus Ultra Lineas Aereas;España
qantas airways;Qantas Airways;Australia
sky airline;Sky;Chile
sky airline peru;Sky;Chile
star up s.a.;Star Up;Peru
star up sa;Star Up;Peru
taca-lacsa;Avianca;Costa Rica
taca-peru;Taca;Peru
united airlines;United Airlines;Estados Unidos
wamos air;Wamos Air;España
